ID процесса B;Время выполнения процесса B (мс);ID процесса (ов) A
1;38;0
2;47;1
3;39;2
4;39;0
5;74;"1; 2; 4"
6;39;1
7;4;"2; 3"
8;88;"1; 2; 3"
9;39;"2; 3; 4; 5; 7; 8"
10;88;"3; 4; 5; 7; 9"
11;62;"8; 9"
12;33;"1; 4"
13;32;"6; 7"
14;22;"8; 13; 4; 5"
15;21;"7; 10; 11; 12; 13; 14"
16;78;"3; 8; 9; 14; 15"
17;70;"16; 3; 6"
18;10;"5; 6; 7; 9; 13; 14; 17"
19;26;18
20;100;0
21;36;"5; 6"
22;34;"3; 4; 5; 6; 10; 11; 14; 17"
23;14;"1; 2; 3; 7; 8; 11; 13; 16; 20"
24;28;2
25;27;"5; 7; 14; 15; 18; 22"
26;82;"2; 12; 5; 6"
27;72;"14; 18; 21; 22; 26"
28;93;14
29;90;24
30;57;"29; 6; 15"
31;98;27
32;76;"5; 6; 10; 11; 15; 26; 28"
33;56;"11; 16; 23; 26; 29"
34;66;"1; 33; 4; 5; 8; 10; 12; 19"
35;1;"4; 15; 26; 27; 29"
36;66;5
37;37;"1; 3; 11; 19; 21; 25"
38;50;"18; 12"
39;34;"14; 23"
40;2;17
41;29;"38; 7; 8; 13; 29"
42;86;"33; 35; 8; 41; 15; 27"
43;72;27
44;48;"35; 7; 42; 11; 13; 21; 24; 26; 27"
45;29;"36; 43; 14; 17; 23"
46;8;"4; 37; 42; 11; 22; 24; 29; 31"
47;61;"17; 20; 46"
48;64;"42; 12; 44"
49;3;"2; 4; 37; 41; 13; 46; 47; 21; 28"
50;29;8
51;41;"1; 36; 5; 6; 12; 14; 50; 26"
52;8;"32; 1; 41; 42; 13; 25; 30"
53;15;"1; 10; 12; 13; 21; 28"
54;63;"32; 1; 35; 43; 16; 51; 20; 25; 26"
55;29;"33; 38"
56;6;"40; 24; 1"
57;44;"39; 40; 47; 15; 29; 30"
58;67;"33; 38; 39; 6; 13; 20; 22"
59;66;"1; 58; 38; 11; 50; 51; 55; 57; 26"
60;98;19
61;23;"7; 42; 45; 60; 16; 28"
62;83;"34; 5; 7; 11; 54; 55; 56"
63;51;"14; 15; 48; 30; 56; 62"
64;74;"32; 4; 5; 11; 44; 47; 18; 55"
65;36;"32; 7; 8; 13; 51; 21; 57; 59; 61; 31"
66;74;0
67;46;41
68;26;"37; 8; 41; 45; 57; 31"
69;89;14
70;50;0
71;63;"37; 6; 42; 61; 56; 29"
72;12;"66; 3; 4; 71; 49; 19; 28; 29"
