12000 6 
1 5002 1
2 444 1
1 7975 1
1 4394 2
1 390 1
1 7222 5
1 8083 5
2 5459 1
1 6648 4
2 9967 6
2 8401 2
2 3691 6
1 5372 6
2 440 3
2 7058 5
2 8678 1
1 1921 3
1 2537 1
2 9873 6
2 725 2
2 314 3
1 3496 1
2 2273 4
1 5705 5
1 4269 2
1 2941 4
2 9078 4
1 8483 5
1 5564 4
1 6713 3
2 9274 5
1 9574 5
1 7764 4
1 2322 1
1 1004 4
1 6973 5
1 6758 6
1 6787 2
1 434 5
1 2087 5
1 4949 5
2 2968 2
1 851 1
1 7881 6
1 6657 3
2 5824 1
2 6334 2
1 5458 2
1 1745 4
2 3278 5
2 6014 6
1 1011 2
1 3422 5
1 9074 4
1 2843 6
1 1102 6
1 6175 3
1 4319 1
1 5502 3
1 1585 5
1 779 1
1 2551 1
1 8885 4
1 884 2
2 2580 4
1 6497 3
1 4482 5
1 5172 3
1 5910 4
2 7558 4
1 6622 3
2 4656 3
2 8303 2
1 5055 6
2 283 4
2 9280 4
2 5934 5
1 670 6
1 7381 6
2 6369 6
1 3612 4
2 3194 6
2 9106 4
2 1247 4
2 3070 5
2 3763 6
1 2209 3
1 7221 1
2 4627 6
1 7673 6
2 8667 3
2 2786 6
2 9920 3
1 8503 1
2 9339 2
1 5767 4
1 6465 4
2 1971 6
2 8925 2
1 5902 5
1 1403 5
1 8502 6
2 9746 6
2 343 5
1 9842 5
2 1310 3
2 905 1
1 7273 2
2 9286 1
2 8605 2
2 9882 1
2 2598 2
1 2961 4
2 353 5
2 2536 1
1 6647 4
2 3646 2
2 4135 3
1 6412 3
2 5057 5
2 3479 1
2 3120 2
1 1483 6
2 577 6
2 9704 2
2 1340 1
2 7556 4
2 9495 3
1 3600 2
2 3212 3
1 6877 1
2 3060 4
1 2928 1
2 4068 5
2 4079 6
1 1869 3
1 1426 2
1 2878 4
2 5902 5
1 5226 2
1 4671 5
2 7555 4
1 7727 6
1 6131 3
2 8438 3
2 1516 2
2 3335 1
1 4278 4
2 5446 5
2 2726 2
2 8662 1
2 5675 4
2 3213 4
2 1309 2
1 517 1
2 2220 1
2 6399 3
2 6221 4
1 5449 4
1 6711 6
1 6936 6
2 5740 6
1 1832 6
2 2963 4
2 677 5
2 3 6
1 8638 5
2 3499 6
2 1220 6
1 7517 2
1 4346 4
2 9391 2
1 9261 3
1 108 6
1 8910 1
2 5823 6
2 9542 4
1 7572 2
2 2258 3
2 4259 5
1 7611 6
2 5894 6
2 7470 2
2 8787 2
1 1138 2
2 1021 6
2 9463 3
2 5271 1
2 926 4
2 794 2
1 7646 3
2 3252 2
2 9913 6
2 9525 1
1 2921 3
1 5451 2
2 1462 1
2 9099 1
1 9615 1
2 7981 1
1 3828 5
1 178 6
1 5325 2
1 9461 3
1 1235 3
1 9614 3
2 2497 2
2 5900 4
2 1501 2
2 5994 3
1 950 1
1 5342 2
1 4889 4
1 5636 3
2 3658 1
2 159 2
2 2157 5
2 5840 1
2 997 5
1 1201 3
2 2383 1
1 8155 1
1 4517 2
1 7487 5
2 4464 3
1 2050 5
2 4249 6
2 1313 4
2 141 1
1 7316 4
2 8680 3
1 7345 2
1 2909 5
2 7903 5
2 1263 3
2 3102 3
2 4458 1
1 4635 4
1 5062 5
2 9751 5
1 9521 1
2 5324 4
1 8337 2
1 2878 1
1 4453 1
1 7329 1
2 9897 5
2 5733 6
1 7377 4
1 1998 2
1 9861 3
2 1273 5
1 8219 5
1 941 1
2 8894 6
2 7243 1
1 7975 5
1 9562 5
2 8393 6
1 3345 1
1 5967 4
2 8812 2
1 4796 6
1 6485 3
2 5031 5
2 2380 3
1 4662 4
2 2667 1
2 4832 5
2 335 5
2 7915 3
2 1800 5
1 3474 1
1 7633 5
2 6306 1
1 4144 6
2 5246 2
2 9259 2
1 1830 4
2 5204 4
2 4554 4
1 6562 1
1 4789 1
2 6852 5
2 2391 4
1 7122 3
1 8078 1
1 9274 6
2 5704 6
2 7548 5
2 4230 3
1 1024 5
1 9490 4
1 538 4
1 7335 2
2 2097 1
1 2001 4
1 2061 4
2 813 5
1 165 3
2 8082 5
2 7212 2
2 606 5
2 2966 2
1 9562 3
2 963 1
2 8568 4
1 6609 5
2 7702 4
1 1232 2
2 3508 4
1 323 2
2 312 3
1 7268 4
2 623 5
2 77 5
1 5131 1
2 6899 4
2 3087 3
2 2642 2
1 2240 3
2 9826 2
2 631 4
1 7985 6
1 9951 2
2 2239 3
1 2089 6
2 7895 5
2 9398 6
1 989 6
2 208 1
2 5958 6
2 9857 5
1 8753 1
1 1887 6
2 2646 4
2 3075 1
1 9680 3
2 9085 2
2 2143 5
1 5878 2
2 358 6
1 194 6
1 5469 1
2 8127 2
1 4035 2
2 2585 2
2 8200 4
1 2455 4
1 526 6
1 4077 6
1 7278 4
1 3737 2
2 6942 1
2 4523 5
1 191 4
1 3647 1
2 8724 3
2 5157 5
1 3720 5
2 2922 5
2 5839 4
2 7806 5
1 7463 3
1 7452 4
1 4592 3
1 4601 2
1 726 1
2 3007 1
1 4995 1
1 9491 6
2 2016 1
1 7955 3
1 7236 1
1 4032 6
1 8465 3
2 1737 5
1 7340 5
2 8762 6
2 7721 3
1 9734 2
2 705 3
1 8462 4
1 2235 1
1 2134 1
2 9822 1
2 531 3
2 8431 2
1 2294 2
2 7213 6
1 9492 4
1 9865 4
2 3123 5
1 9 4
2 3204 2
1 1910 3
2 5951 5
1 257 2
1 8333 1
1 1314 3
2 611 5
1 8027 1
2 2830 4
1 8872 3
2 4997 5
2 4326 4
1 4092 2
1 8835 4
2 7564 2
2 9611 5
2 2073 2
2 1093 3
1 5794 5
1 5075 6
2 7426 2
1 7746 5
1 4910 5
2 2162 5
1 5900 3
1 937 2
1 1463 3
1 4888 6
1 4573 5
2 5083 4
2 1673 5
2 3874 2
1 4644 3
2 8200 6
1 8617 3
1 4569 5
1 3774 5
2 5917 3
2 1791 2
1 3617 2
2 7425 2
2 9550 6
1 8369 6
1 811 5
2 7317 2
2 1632 1
1 7687 5
2 1054 3
1 522 3
1 801 3
1 3078 6
1 1928 4
2 4021 2
1 5328 4
2 6560 5
1 5161 5
1 85 2
1 3667 3
2 3458 3
1 4036 2
2 6296 6
2 5044 3
1 7274 5
2 5486 6
1 6534 5
1 9001 1
1 8690 2
2 6665 4
1 2429 2
1 2772 1
2 4289 3
2 6812 2
2 3297 5
2 2479 3
1 7377 6
2 4421 5
2 9805 1
2 9396 6
1 2921 3
1 661 5
2 8638 4
2 4935 2
2 2681 6
1 7386 6
1 6811 3
2 2633 1
1 3890 4
1 6497 5
2 1843 3
2 913 6
1 1635 1
1 9599 5
2 408 6
2 3137 3
2 5606 2
1 2959 1
1 1709 6
2 1517 2
2 9256 5
2 6275 5
1 985 1
1 1205 5
2 3017 6
1 1099 5
1 7327 1
2 2819 1
1 6126 1
2 8481 5
2 8949 5
1 2047 1
1 4817 6
2 9549 1
2 240 5
1 1908 4
1 4618 4
2 5786 3
1 6379 6
1 3481 1
1 5594 3
2 8154 2
1 7159 1
2 2212 5
2 4130 6
1 9986 1
1 3886 1
2 576 6
2 2173 4
2 1924 4
2 4313 6
2 2814 6
1 3457 6
2 3261 1
1 7735 6
2 8373 5
2 6899 4
1 5951 3
2 7989 2
2 9842 6
2 8836 3
1 9285 1
2 5067 2
1 5625 3
1 5346 6
2 9390 5
1 370 1
2 3825 5
2 9855 1
1 5295 5
1 8321 2
2 865 5
2 8336 2
2 4031 6
1 5503 5
1 6315 5
1 801 6
1 1935 3
1 8526 5
1 1549 2
1 2695 4
1 9481 1
2 8974 1
2 9843 5
1 7320 2
1 1743 2
1 6312 1
1 4072 3
2 1885 2
1 4503 2
1 4087 3
1 4057 3
1 5536 6
2 120 2
1 1635 4
1 8597 4
1 8221 5
2 686 5
2 1981 2
2 8077 1
2 3384 3
2 7543 1
1 6183 5
2 5723 1
2 7586 1
2 2898 3
2 5454 6
1 3746 4
1 5069 3
2 5778 4
2 148 3
2 5779 6
2 7402 6
1 553 1
2 4107 4
2 7071 2
1 1471 3
1 8656 4
1 7715 2
1 3731 4
1 601 4
2 6456 3
1 390 1
1 4592 5
2 8869 1
1 3477 1
2 4797 3
1 4742 6
2 7850 5
1 6813 3
2 5664 3
1 6642 5
1 4778 2
1 5782 5
1 3150 4
2 3480 6
2 5665 4
1 2732 6
2 2466 4
1 7204 4
2 595 4
2 4764 5
2 8006 4
